season,tim,grup,role,role_asli,pemain,link,negara,catatan
10,Bigetron Alpha,Main,Gold,Gold Lane,Markyyyyy,/mobilelegends/Markyyyyy,Philippines,
10,Bigetron Alpha,Main,Roam,Roamer,Kyy,/mobilelegends/Kyy,Indonesia,
10,Bigetron Alpha,Subs,EXP,EXP Lane,Rippo,/mobilelegends/Rippo,Malaysia,
10,Bigetron Alpha,Subs,Mid,Middle,Falah,/mobilelegends/Falah,Indonesia,
10,Bigetron Alpha,Subs,Gold,Gold Lane,SakeN,/mobilelegends/Saken,Indonesia,
10,Bigetron Alpha,Former,Gold,Gold Lane,Matt,/mobilelegends/Matt,Indonesia,Left
10,Bigetron Alpha,Staff,,,Vrendon Lin,/mobilelegends/Vren,Philippines,Coach
10,Bigetron Alpha,Staff,,,Starlest,/mobilelegends/index.php?title=Starlest&action=edit&redlink=1,Indonesia,Analyst
10,Bigetron Alpha,Staff,,,Mozia,/mobilelegends/Mozia,Indonesia,Analyst
10,EVOS Legends,Main,EXP,EXP Lane,Pendragon,/mobilelegends/Pendragon,Indonesia,
10,EVOS Legends,Main,Jungle,Jungler,Sutsujin,/mobilelegends/Sutsujin,Indonesia,
10,EVOS Legends,Main,Mid,Middle,Tazz,/mobilelegends/Tazz,Indonesia,
10,EVOS Legends,Main,Gold,Gold Lane,Clover,/mobilelegends/Clover,Indonesia,
10,EVOS Legends,Main,Roam,Roamer,DreamS,/mobilelegends/Dreams,Indonesia,
10,EVOS Legends,Subs,EXP,EXP Lane,Saykots,/mobilelegends/Saykots,Indonesia,
10,EVOS Legends,Subs,Mid,Middle,Cr1te,/mobilelegends/Cr1te,Indonesia,
10,EVOS Legends,Former,EXP,EXP Lane,Dlar,/mobilelegends/Dlar,Philippines,Left
10,EVOS Legends,Former,Jungle,Jungler,Ferxiic,/mobilelegends/Ferxiic,Indonesia,Left
10,EVOS Legends,Former,Roam,Roamer,Bajan,/mobilelegends/Bajan,Indonesia,Left
10,EVOS Legends,Former,Roam,Roamer,VaanStrong,/mobilelegends/Ivann,Indonesia,Left
10,EVOS Legends,Staff,,,Zeys,/mobilelegends/Zeys,Singapore,Head Coach
10,EVOS Legends,Staff,,,TaxStump,/mobilelegends/TaxStump,Indonesia,Assistant Coach
10,EVOS Legends,Staff,,,Vellion,/mobilelegends/index.php?title=Vellion&action=edit&redlink=1,Indonesia,Assistant Coach
10,EVOS Legends,Staff,,,Age,/mobilelegends/Age,Indonesia,Analyst
10,Geek Fam ID,Main,EXP,EXP Lane,LUKE,/mobilelegends/Luke,Indonesia,
10,Geek Fam ID,Main,Jungle,Jungler,Janaaqt,/mobilelegends/Hadess,Philippines,
10,Geek Fam ID,Main,Mid,Middle,Lzuraaa,/mobilelegends/Lzuraa,Indonesia,
10,Geek Fam ID,Main,Gold,Gold Lane,Caderaa,/mobilelegends/Caderaa,Indonesia,
10,Geek Fam ID,Main,Roam,Roamer,Baloyskie,/mobilelegends/Baloyskie,Philippines,
10,Geek Fam ID,Subs,Gold,Gold Lane,Renesmee,/mobilelegends/Renesmee,Indonesia,
10,Geek Fam ID,Former,EXP,EXP Lane,Adam,/mobilelegends/Schwann,Indonesia,Left
10,Geek Fam ID,Former,Jungle,Jungler,Hanz,/mobilelegends/Hanz,Indonesia,Left
10,Geek Fam ID,Former,Roam,Roamer,Rupture,/mobilelegends/Rupture,Indonesia,Left
10,Geek Fam ID,Former,Roam,Roamer,Manskuy,/mobilelegends/index.php?title=Manskuy&action=edit&redlink=1,Indonesia,Left
10,Geek Fam ID,Staff,,,Ruben,/mobilelegends/Ruben,Indonesia,Coach
10,ONIC Esports,Main,EXP,EXP Lane,Butsss,/mobilelegends/Butss,Indonesia,
10,ONIC Esports,Main,Jungle,Jungler,Kairi,/mobilelegends/Kairi,Philippines,
10,ONIC Esports,Main,Mid,Middle,S A N Z,/mobilelegends/S_A_N_Z,Indonesia,
10,ONIC Esports,Main,Gold,Gold Lane,CW,/mobilelegends/CW,Indonesia,
10,ONIC Esports,Main,Roam,Roamer,Kiboy,/mobilelegends/Kiboy,Indonesia,
10,ONIC Esports,Subs,Mid,Middle,Drian,/mobilelegends/Drian,Indonesia,
10,ONIC Esports,Subs,Roam,Roamer,SamoHT,/mobilelegends/SamoHt,Indonesia,
10,ONIC Esports,Staff,,,Aldo,/mobilelegends/Aldo,Indonesia,Head Coach
10,ONIC Esports,Staff,,,Mars,/mobilelegends/Mars,Indonesia,Assistant Coach
10,ONIC Esports,Staff,,,Yeb,/mobilelegends/Yeb,Philippines,Analyst
10,Rebellion Zion,Main,EXP,EXP Lane,Dyrennn,/mobilelegends/Dyrennn,Indonesia,
10,Rebellion Zion,Main,Jungle,Jungler,Fearless,/mobilelegends/Fearless,Indonesia,
10,Rebellion Zion,Main,Mid,Middle,SwayLow,/mobilelegends/SwayLow,Indonesia,
10,Rebellion Zion,Main,Gold,Gold Lane,HAIZZ,/mobilelegends/Haiz,Indonesia,
10,Rebellion Zion,Main,Roam,Roamer,Widjanarko,/mobilelegends/Widjanarko,Indonesia,
