season,week,day,timestamp,tim1,kode1,skor1,skor2,kode2,tim2,status,mvp,mvp_link,mvp_kode
10,4,4,1662287400,Alter Ego,AE,1,2,ONIC,ONIC,selesai,Kairi,/mobilelegends/Kairi,ONIC
10,5,9,1662710400,AURA Fire,AURA,2,1,EVOS,EVOS,selesai,Kabuki,/mobilelegends/Kabuki,AURA
10,5,9,1662719400,RRQ Hoshi,RRQ,2,0,BTR,Bigetron by Vitality,selesai,Skylar,/mobilelegends/Skylar,RRQ
10,5,10,1662789600,Geek Fam ID,GFID,2,0,AE,Alter Ego,selesai,Caderaa,/mobilelegends/Caderaa,GFID
10,5,10,1662798600,Bigetron by Vitality,BTR,2,1,RBL,Rebellion Esports,selesai,Kyy,/mobilelegends/Kyy,BTR
10,5,10,1662807600,RRQ Hoshi,RRQ,0,2,ONIC,ONIC,selesai,Kairi,/mobilelegends/Kairi,ONIC
10,5,11,1662883200,Rebellion Esports,RBL,2,0,AE,Alter Ego,selesai,Fearless,/mobilelegends/Fearless,RBL
10,5,11,1662892200,ONIC,ONIC,2,1,AURA,AURA Fire,selesai,CW,/mobilelegends/CW,ONIC
10,6,16,1663315200,Rebellion Esports,RBL,1,2,ONIC,ONIC,selesai,CW,/mobilelegends/CW,ONIC
10,6,16,1663326900,Alter Ego,AE,2,0,EVOS,EVOS,selesai,Nino,/mobilelegends/Nino,AE
10,6,17,1663394400,RRQ Hoshi,RRQ,2,0,GFID,Geek Fam ID,selesai,Alberttt,/mobilelegends/Alberttt,RRQ
10,6,17,1663405200,AURA Fire,AURA,0,2,BTR,Bigetron by Vitality,selesai,MAXXX,/mobilelegends/Maxx,BTR
10,6,17,1663416000,EVOS,EVOS,0,2,RBL,Rebellion Esports,selesai,Fearless,/mobilelegends/Fearless,RBL
10,6,18,1663488000,Bigetron by Vitality,BTR,2,1,GFID,Geek Fam ID,selesai,MAXXX,/mobilelegends/Maxx,BTR
10,6,18,1663499700,RRQ Hoshi,RRQ,2,0,AURA,AURA Fire,selesai,Clayyy,/mobilelegends/Clayyy,RRQ
10,7,23,1663920000,Alter Ego,AE,2,0,BTR,Bigetron by Vitality,selesai,Nino,/mobilelegends/Nino,AE
10,7,23,1663931700,Geek Fam ID,GFID,2,1,AURA,AURA Fire,selesai,Lzuraaa,/mobilelegends/Lzuraa,GFID
10,7,24,1663999200,Bigetron by Vitality,BTR,2,1,ONIC,ONIC,selesai,Kyy,/mobilelegends/Kyy,BTR
10,7,24,1664010000,RRQ Hoshi,RRQ,2,1,AE,Alter Ego,selesai,Skylar,/mobilelegends/Skylar,RRQ
10,7,24,1664020800,EVOS,EVOS,1,2,GFID,Geek Fam ID,selesai,Caderaa,/mobilelegends/Caderaa,GFID
10,7,25,1664092800,Rebellion Esports,RBL,2,0,RRQ,RRQ Hoshi,selesai,Dyrennn,/mobilelegends/Dyrennn,RBL
10,7,25,1664104500,ONIC,ONIC,2,1,EVOS,EVOS,selesai,Kairi,/mobilelegends/Kairi,ONIC
10,8,30,1664524800,Alter Ego,AE,2,0,AURA,AURA Fire,selesai,LeoMurphy,/mobilelegends/Leomurphy,AE
10,8,30,1664536500,EVOS,EVOS,0,2,BTR,Bigetron by Vitality,selesai,Markyyyyy,/mobilelegends/Markyyyyy,BTR
10,8,1,1664604000,ONIC,ONIC,2,1,GFID,Geek Fam ID,selesai,Butsss,/mobilelegends/Butss,ONIC
10,8,1,1664614800,AURA Fire,AURA,1,2,RBL,Rebellion Esports,selesai,SwayLow,/mobilelegends/SwayLow,RBL
10,8,1,1664625600,EVOS,EVOS,0,2,RRQ,RRQ Hoshi,selesai,VYN,/mobilelegends/VYN,RRQ
10,8,2,1664697600,Rebellion Esports,RBL,1,2,GFID,Geek Fam ID,selesai,Janaaqt,/mobilelegends/Hadess,GFID
10,8,2,1664709300,ONIC,ONIC,2,1,AE,Alter Ego,selesai,Kairi,/mobilelegends/Kairi,ONIC
11,1,1,1676617200,AURA Fire,AURA,1,2,RBL,Rebellion Esports,selesai,Haiz,/mobilelegends/Haiz,RBL
11,1,1,1676628000,RRQ Hoshi,RRQ,2,0,BTR,Bigetron by Vitality,selesai,Skylar,/mobilelegends/Skylar,RRQ
11,1,1,1676638800,Geek Fam ID,GEEK,1,2,ONIC,ONIC,selesai,Kiboy,/mobilelegends/Kiboy,ONIC
11,1,2,1676692800,Alter Ego,AE,0,2,RRQ,RRQ Hoshi,selesai,Lemon,/mobilelegends/Lemon,RRQ
11,1,2,1676703600,AURA Fire,AURA,0,2,GEEK,Geek Fam ID,selesai,Baloyskie,/mobilelegends/Baloyskie,GEEK
11,1,2,1676714400,Rebellion Esports,RBL,0,2,EVOS,EVOS,selesai,Branz,/mobilelegends/Branz,EVOS
11,1,2,1676725200,Bigetron by Vitality,BTR,0,2,ONIC,ONIC,selesai,Kairi,/mobilelegends/Kairi,ONIC
11,1,3,1676793600,EVOS,EVOS,2,0,AE,Alter Ego,selesai,Branz,/mobilelegends/Branz,EVOS
11,1,3,1676804400,Bigetron by Vitality,BTR,2,1,AURA,AURA Fire,selesai,Gamora,/mobilelegends/Gamora,BTR
11,2,1,1677222000,EVOS,EVOS,2,1,GEEK,Geek Fam ID,selesai,Tazz,/mobilelegends/Tazz,EVOS
11,2,1,1677232800,ONIC,ONIC,2,0,RRQ,RRQ Hoshi,selesai,Kairi,/mobilelegends/Kairi,ONIC
11,2,1,1677243600,Alter Ego,AE,2,0,RBL,Rebellion Esports,selesai,PAI,/mobilelegends/Pai,AE
11,2,2,1677297600,RRQ Hoshi,RRQ,2,0,AURA,AURA Fire,selesai,Skylar,/mobilelegends/Skylar,RRQ
11,2,2,1677308400,ONIC,ONIC,2,1,AE,Alter Ego,selesai,CW,/mobilelegends/CW,ONIC
11,2,2,1677319200,EVOS,EVOS,1,2,BTR,Bigetron by Vitality,selesai,Morenoo,/mobilelegends/Moreno,BTR
11,2,2,1677330000,Geek Fam ID,GEEK,0,2,RBL,Rebellion Esports,selesai,Swaylow,/mobilelegends/SwayLow,RBL
11,2,3,1677398400,AURA Fire,AURA,1,2,ONIC,ONIC,selesai,CW,/mobilelegends/CW,ONIC
11,2,3,1677411000,RRQ Hoshi,RRQ,2,1,EVOS,EVOS,selesai,Skylar,/mobilelegends/Skylar,RRQ
11,3,1,1677826800,Geek Fam ID,GEEK,2,0,AE,Alter Ego,selesai,Aboy,/mobilelegends/A_B_O_Y,GEEK
11,3,1,1677837600,Rebellion Esports,RBL,2,1,BTR,Bigetron by Vitality,selesai,Haiz,/mobilelegends/Haiz,RBL
11,3,1,1677848400,EVOS,EVOS,2,1,AURA,AURA Fire,selesai,Branz,/mobilelegends/Branz,EVOS
11,3,2,1677902400,Bigetron by Vitality,BTR,1,2,GEEK,Geek Fam ID,selesai,Baloyskie,/mobilelegends/Baloyskie,GEEK
11,3,2,1677913200,Rebellion Esports,RBL,0,2,RRQ,RRQ Hoshi,selesai,Alberttt,/mobilelegends/Alberttt,RRQ
11,3,2,1677924000,Alter Ego,AE,0,2,AURA,AURA Fire,selesai,Kabuki,/mobilelegends/Kabuki,AURA
11,3,2,1677934800,ONIC,ONIC,2,1,EVOS,EVOS,selesai,Kiboy,/mobilelegends/Kiboy,ONIC
11,3,3,1678003200,Alter Ego,AE,0,2,BTR,Bigetron by Vitality,selesai,Kyy,/mobilelegends/Kyy,BTR
11,3,3,1678014000,ONIC,ONIC,2,0,RBL,Rebellion Esports,selesai,Kairi,/mobilelegends/Kairi,ONIC
11,4,1,1678431600,Geek Fam ID,GEEK,2,1,RRQ,RRQ Hoshi,selesai,Caderaa,/mobilelegends/Caderaa,GEEK
11,4,1,1678442400,Alter Ego,AE,2,0,EVOS,EVOS,selesai,Nino,/mobilelegends/Nino,AE
11,4,1,1678453200,Rebellion Esports,RBL,2,0,AURA,AURA Fire,selesai,Haiz,/mobilelegends/Haiz,RBL
11,4,2,1678507200,RRQ Hoshi,RRQ,1,2,AE,Alter Ego,selesai,Nino,/mobilelegends/Nino,AE
