season,kode,pemain,pemain_id,role,main,kill,kill_rata,mati,mati_rata,assist,assist_rata,kda,partisipasi
18,EVOS,Ryzaa,Ryzaa,MID,13,18,1.38,26,2.0,89,6.85,4.12,81.0
18,EVOS,DRIANW,,MID,5,11,2.2,6,1.2,20,4.0,5.17,79.0
18,EVOS,VELL,Vell,EXP,2,1,0.5,6,3.0,7,3.5,1.33,73.0
18,GEEK,ABOYY,A_B_O_Y,MID,22,43,1.95,44,2.0,112,5.09,3.52,80.0
18,GEEK,KENNZYYSKIE,KennzyySkie,GOLD,22,69,3.14,55,2.5,71,3.23,2.55,72.0
18,GEEK,MARCEL,MarceL,EXP,17,21,1.24,60,3.53,71,4.18,1.53,58.0
18,GEEK,NAZARA,Nazara,JUNGLE,15,33,2.2,36,2.4,53,3.53,2.39,67.0
18,GEEK,AUDYTZY,,ROAM,11,5,0.45,33,3.0,71,6.45,2.3,75.0
18,GEEK,Frenzyy,Frenzyy,ROAM,11,7,0.64,27,2.45,56,5.09,2.33,68.0
18,GEEK,MAYKIDSS,Maykids,JUNGLE,7,14,2.0,20,2.86,34,4.86,2.4,74.0
18,GEEK,FEBRIII,Febriii,EXP,5,2,0.4,15,3.0,21,4.2,1.53,66.0
18,NAVI,KARSS,Karss,EXP,20,16,0.8,46,2.3,126,6.3,3.09,66.0
18,NAVI,APRHO,Aprho,ROAM,20,21,1.05,39,1.95,145,7.25,4.26,77.0
18,NAVI,ZEONN,Zeonn,GOLD,20,48,2.4,14,0.7,98,4.9,10.43,68.0
18,NAVI,JIIZEE,Jizeezeze,MID,20,45,2.25,19,0.95,137,6.85,9.58,85.0
18,NAVI,ANDORYUUU,Andoryuuu,JUNGLE,12,43,3.58,27,2.25,50,4.17,3.44,84.0
18,NAVI,Joshuaa,Coolfire,JUNGLE,8,42,5.25,7,0.88,40,5.0,11.71,79.0
18,NAVI,FEBBB,Febbb,EXP,0,0,0.0,0,0.0,0,0.0,0.0,0.0
18,ONIC,KIBOY,Kiboy,ROAM,22,20,0.91,65,2.95,154,7.0,2.68,76.0
18,ONIC,KAIRI,Kairi,JUNGLE,22,88,4.0,36,1.64,91,4.14,4.97,78.0
18,ONIC,LUTPI,Lutpiii,EXP,22,19,0.86,58,2.64,132,6.0,2.6,66.0
18,ONIC,KELRA,Kelra,GOLD,22,56,2.55,26,1.18,95,4.32,5.81,66.0
18,ONIC,SANZ,S_A_N_Z,MID,17,38,2.24,24,1.41,103,6.06,5.88,81.0
18,ONIC,SSAMUEL,SamueL,ROAM,5,8,1.6,18,3.6,28,5.6,2.0,65.0
18,RRQ,JOSHUA,Lynchh,EXP,18,15,0.83,56,3.11,61,3.39,1.36,56.0
18,RRQ,DEMONKITE,Demonkite,JUNGLE,18,42,2.33,35,1.94,57,3.17,2.83,73.0
18,RRQ,ARTHUR,Sutsujin,GOLD,18,37,2.06,44,2.44,39,2.17,1.73,56.0
18,RRQ,SAID,Idok,ROAM,16,13,0.81,57,3.56,72,4.5,1.49,71.0
18,RRQ,HAJIRIN,Rinz,MID,14,22,1.57,38,2.71,66,4.71,2.32,79.0
18,RRQ,CLAYYY,Clayyy,MID,4,5,1.25,10,2.5,16,4.0,2.1,88.0
18,RRQ,HABIL,KurooKy,GOLD,0,0,0.0,0,0.0,0,0.0,0.0,0.0
18,TLID,ARAN,Aran,EXP,21,28,1.33,34,1.62,127,6.05,4.56,63.0
18,TLID,KEVIN,JOOOOO,JUNGLE,21,99,4.71,40,1.9,82,3.9,4.53,74.0
18,TLID,DRICHEL,Drichel,MID,21,38,1.81,23,1.1,131,6.24,7.35,69.0
18,TLID,LYONI,Lyoni,ROAM,21,15,0.71,57,2.71,176,8.38,3.35,78.0
18,TLID,KEVEN,Jull,GOLD,21,66,3.14,22,1.05,96,4.57,7.36,66.0
18,TLID,ANAVER,NenShikii,MID,0,0,0.0,0,0.0,0,0.0,0.0,0.0
