laga_id,game,kode,jenis,urutan,hero
S10R003,2,GEEK,pick,1,Grock
S10R003,2,GEEK,pick,2,Balmond
S10R003,2,GEEK,pick,3,Yve
S10R003,2,GEEK,pick,4,Wanwan
S10R003,2,GEEK,pick,5,Selena
S10R003,2,GEEK,ban,1,Chou
S10R003,2,GEEK,ban,2,Julian
S10R003,2,GEEK,ban,3,Valentina
S10R003,2,GEEK,ban,4,Beatrix
S10R003,2,GEEK,ban,5,Lylia
S10R004,1,ONIC,pick,1,Paquito
S10R004,1,ONIC,pick,2,Akai
S10R004,1,ONIC,pick,3,Yve
S10R004,1,ONIC,pick,4,Claude
S10R004,1,ONIC,pick,5,Ruby
S10R004,1,ONIC,ban,1,Masha
S10R004,1,ONIC,ban,2,Esmeralda
S10R004,1,ONIC,ban,3,Faramis
S10R004,1,ONIC,ban,4,Phoveus
S10R004,1,ONIC,ban,5,Karina
S10R004,1,RBL,pick,1,Thamuz
S10R004,1,RBL,pick,2,Benedetta
S10R004,1,RBL,pick,3,Julian
S10R004,1,RBL,pick,4,Beatrix
S10R004,1,RBL,pick,5,Franco
S10R004,1,RBL,ban,1,Fanny
S10R004,1,RBL,ban,2,Wanwan
S10R004,1,RBL,ban,3,Valentina
S10R004,1,RBL,ban,4,Ling
S10R004,1,RBL,ban,5,Atlas
S10R004,2,ONIC,pick,1,Paquito
S10R004,2,ONIC,pick,2,Akai
S10R004,2,ONIC,pick,3,Lylia
S10R004,2,ONIC,pick,4,Beatrix
S10R004,2,ONIC,pick,5,Diggie
S10R004,2,ONIC,ban,1,Masha
S10R004,2,ONIC,ban,2,Faramis
S10R004,2,ONIC,ban,3,Esmeralda
S10R004,2,ONIC,ban,4,Julian
S10R004,2,ONIC,ban,5,Karina
S10R004,2,RBL,pick,1,Thamuz
S10R004,2,RBL,pick,2,Lancelot
S10R004,2,RBL,pick,3,Yve
S10R004,2,RBL,pick,4,Wanwan
S10R004,2,RBL,pick,5,Franco
S10R004,2,RBL,ban,1,Valentina
S10R004,2,RBL,ban,2,Fanny
S10R004,2,RBL,ban,3,Natalia
S10R004,2,RBL,ban,4,Phoveus
S10R004,2,RBL,ban,5,Ling
S10R005,1,BTR,pick,1,Esmeralda
S10R005,1,BTR,pick,2,Balmond
S10R005,1,BTR,pick,3,Yve
S10R005,1,BTR,pick,4,Beatrix
S10R005,1,BTR,pick,5,Lolita
S10R005,1,BTR,ban,1,Fanny
S10R005,1,BTR,ban,2,Ling
S10R005,1,BTR,ban,3,Akai
S10R005,1,BTR,ban,4,Atlas
S10R005,1,BTR,ban,5,Natalia
S10R005,1,EVOS,pick,1,Masha
S10R005,1,EVOS,pick,2,Julian
S10R005,1,EVOS,pick,3,Lylia
S10R005,1,EVOS,pick,4,Claude
S10R005,1,EVOS,pick,5,Franco
S10R005,1,EVOS,ban,1,Valentina
S10R005,1,EVOS,ban,2,Faramis
S10R005,1,EVOS,ban,3,Wanwan
S10R005,1,EVOS,ban,4,Karina
S10R005,1,EVOS,ban,5,Paquito
S10R005,2,BTR,pick,1,Esmeralda
S10R005,2,BTR,pick,2,Karina
S10R005,2,BTR,pick,3,Cecilion
S10R005,2,BTR,pick,4,Karrie
S10R005,2,BTR,pick,5,Lolita
S10R005,2,BTR,ban,1,Fanny
S10R005,2,BTR,ban,2,Ling
S10R005,2,BTR,ban,3,Akai
S10R005,2,BTR,ban,4,Balmond
S10R005,2,BTR,ban,5,Atlas
S10R005,2,EVOS,pick,1,Masha
S10R005,2,EVOS,pick,2,Julian
S10R005,2,EVOS,pick,3,Yve
S10R005,2,EVOS,pick,4,Beatrix
S10R005,2,EVOS,pick,5,Franco
S10R005,2,EVOS,ban,1,Valentina
S10R005,2,EVOS,ban,2,Faramis
S10R005,2,EVOS,ban,3,Wanwan
S10R005,2,EVOS,ban,4,Popol and Kupa
S10R005,2,EVOS,ban,5,Claude
S10R006,1,AE,pick,1,Paquito
S10R006,1,AE,pick,2,Ling
S10R006,1,AE,pick,3,Valentina
S10R006,1,AE,pick,4,Phoveus
S10R006,1,AE,pick,5,Baxia
S10R006,1,AE,ban,1,Faramis
S10R006,1,AE,ban,2,Akai
S10R006,1,AE,ban,3,Franco
S10R006,1,AE,ban,4,Karina
S10R006,1,AE,ban,5,Kagura
S10R006,1,RRQ,pick,1,Esmeralda
S10R006,1,RRQ,pick,2,Lancelot
S10R006,1,RRQ,pick,3,Pharsa
S10R006,1,RRQ,pick,4,Wanwan
S10R006,1,RRQ,pick,5,Hilda
S10R006,1,RRQ,ban,1,Fanny
S10R006,1,RRQ,ban,2,Natalia
S10R006,1,RRQ,ban,3,Julian
S10R006,1,RRQ,ban,4,Dyrroth
S10R006,1,RRQ,ban,5,Angela
S10R006,2,AE,pick,1,Esmeralda
S10R006,2,AE,pick,2,Paquito
S10R006,2,AE,pick,3,Kagura
S10R006,2,AE,pick,4,Popol and Kupa
S10R006,2,AE,pick,5,Chou
S10R006,2,AE,ban,1,Faramis
S10R006,2,AE,ban,2,Akai
S10R006,2,AE,ban,3,Wanwan
S10R006,2,AE,ban,4,Dyrroth
S10R006,2,AE,ban,5,Uranus
S10R006,2,RRQ,pick,1,Masha
S10R006,2,RRQ,pick,2,Karina
S10R006,2,RRQ,pick,3,Valentina
S10R006,2,RRQ,pick,4,Beatrix
S10R006,2,RRQ,pick,5,Franco
S10R006,2,RRQ,ban,1,Fanny
S10R006,2,RRQ,ban,2,Natalia
S10R006,2,RRQ,ban,3,Julian
S10R006,2,RRQ,ban,4,Claude
S10R006,2,RRQ,ban,5,Ling
S10R007,1,EVOS,pick,1,Uranus
S10R007,1,EVOS,pick,2,Ling
S10R007,1,EVOS,pick,3,Valentina
S10R007,1,EVOS,pick,4,Karrie
S10R007,1,EVOS,pick,5,Baxia
S10R007,1,EVOS,ban,1,Yve
S10R007,1,EVOS,ban,2,Beatrix
S10R007,1,EVOS,ban,3,Akai
S10R007,1,EVOS,ban,4,Kadita
S10R007,1,EVOS,ban,5,Natalia
S10R007,1,AURA,pick,1,Esmeralda
S10R007,1,AURA,pick,2,Aamon
S10R007,1,AURA,pick,3,Faramis
S10R007,1,AURA,pick,4,Brody
S10R007,1,AURA,pick,5,Hilda
S10R007,1,AURA,ban,1,Wanwan
S10R007,1,AURA,ban,2,Fanny
S10R007,1,AURA,ban,3,Claude
S10R007,1,AURA,ban,4,Atlas
S10R007,1,AURA,ban,5,Popol and Kupa
S10R007,2,EVOS,pick,1,Esmeralda
S10R007,2,EVOS,pick,2,Baxia
S10R007,2,EVOS,pick,3,Cecilion
S10R007,2,EVOS,pick,4,Beatrix
S10R007,2,EVOS,pick,5,Natalia
S10R007,2,EVOS,ban,1,Fanny
S10R007,2,EVOS,ban,2,Valentina
S10R007,2,EVOS,ban,3,Faramis
S10R007,2,EVOS,ban,4,Brody
S10R007,2,EVOS,ban,5,Karrie
S10R007,2,AURA,pick,1,Dyrroth
S10R007,2,AURA,pick,2,Natan
S10R007,2,AURA,pick,3,Yve
S10R007,2,AURA,pick,4,Yu Zhong
S10R007,2,AURA,pick,5,Kadita
S10R007,2,AURA,ban,1,Akai
S10R007,2,AURA,ban,2,Wanwan
S10R007,2,AURA,ban,3,Claude
S10R007,2,AURA,ban,4,Hayabusa
S10R007,2,AURA,ban,5,Franco
S10R008,1,AURA,pick,1,Esmeralda
S10R008,1,AURA,pick,2,Fanny
S10R008,1,AURA,pick,3,Xavier
S10R008,1,AURA,pick,4,Beatrix
S10R008,1,AURA,pick,5,Lolita
S10R008,1,AURA,ban,1,Akai
S10R008,1,AURA,ban,2,Wanwan
S10R008,1,AURA,ban,3,Faramis
S10R008,1,AURA,ban,4,Popol and Kupa
S10R008,1,AURA,ban,5,Brody
S10R008,1,ONIC,pick,1,Paquito
S10R008,1,ONIC,pick,2,Balmond
S10R008,1,ONIC,pick,3,Valentina
S10R008,1,ONIC,pick,4,Moskov
