season,kode,pemain_id,grup,role,negara,catatan,nama_periode,juara
10,RRQ,Violence,Former,Roam,Indonesia,Left,RRQ Hoshi,False
10,RRQ,Fiel,Staff,,Philippines,Head Coach,RRQ Hoshi,False
10,RRQ,Arcadia,Staff,,Indonesia,Assistant Coach,RRQ Hoshi,False
10,RRQ,Adi,Staff,,Indonesia,Analyst,RRQ Hoshi,False
11,AE,Pai,Main,EXP,Indonesia,,Alter Ego,False
11,AE,Celiboy,Main,Jungle,Indonesia,,Alter Ego,False
11,AE,Udil,Main,Mid,Indonesia,,Alter Ego,False
11,AE,Nino,Main,Gold,Indonesia,,Alter Ego,False
11,AE,Rasy,Main,Roam,Indonesia,,Alter Ego,False
11,AE,KidsZ,Subs,Jungle,Indonesia,,Alter Ego,False
11,AE,RaizeL,Subs,Gold,Indonesia,,Alter Ego,False
11,AE,Psychoo,Subs,Roam,Indonesia,,Alter Ego,False
11,AE,Nafari,Staff,,Indonesia,Head Coach,Alter Ego,False
11,AE,Caesius,Staff,,Indonesia,Assistant Coach,Alter Ego,False
11,AE,Arss,Staff,,Indonesia,Analyst,Alter Ego,False
11,AURA,Fluffy,Main,EXP,Indonesia,,AURA Fire,False
11,AURA,VAN,Main,Jungle,Indonesia,,AURA Fire,False
11,AURA,Facehugger,Main,Mid,Indonesia,,AURA Fire,False
11,AURA,Kabuki,Main,Gold,Indonesia,,AURA Fire,False
11,AURA,God1va,Main,Roam,Indonesia,,AURA Fire,False
11,AURA,Caid,Subs,Gold,Indonesia,,AURA Fire,False
11,AURA,High,Subs,Flex,Indonesia,,AURA Fire,False
11,AURA,Pahlevi,Staff,,Indonesia,Coach,AURA Fire,False
11,AURA,CL,Staff,,Indonesia,Analyst,AURA Fire,False
11,BTR,Xorizo,Main,EXP,Indonesia,,Bigetron Alpha,False
11,BTR,Super_Kenn,Main,Jungle,Indonesia,,Bigetron Alpha,False
11,BTR,Moreno,Main,Mid,Indonesia,,Bigetron Alpha,False
11,BTR,Saken,Main,Gold,Indonesia,,Bigetron Alpha,False
11,BTR,Kyy,Main,Roam,Indonesia,,Bigetron Alpha,False
11,BTR,VyrNoCure,Subs,EXP,Indonesia,,Bigetron Alpha,False
11,BTR,Maxx,Subs,Jungle,Indonesia,,Bigetron Alpha,False
11,BTR,Gamora,Subs,Mid,Indonesia,,Bigetron Alpha,False
11,BTR,Markyyyyy,Subs,Gold,Philippines,,Bigetron Alpha,False
11,BTR,Just_Garrr,Former,Jungle,Indonesia,Left,Bigetron Alpha,False
11,BTR,Razeboy,Staff,,Indonesia,Head Coach,Bigetron Alpha,False
11,BTR,Aldo,Staff,,Indonesia,Assistant Coach,Bigetron Alpha,False
11,BTR,Pauuu,Staff,,Philippines,Technical Coach,Bigetron Alpha,False
11,EVOS,Saykots,Main,EXP,Indonesia,,EVOS Legends,False
11,EVOS,Tazz,Main,Jungle,Indonesia,,EVOS Legends,False
11,EVOS,Hijumee,Main,Mid,Indonesia,,EVOS Legends,False
11,EVOS,Branz,Main,Gold,Indonesia,,EVOS Legends,False
11,EVOS,Dreams,Main,Roam,Indonesia,,EVOS Legends,False
11,EVOS,Pendragon,Subs,EXP,Indonesia,,EVOS Legends,False
11,EVOS,Dlar,Subs,EXP,Philippines,DNP,EVOS Legends,False
11,EVOS,Ferxiic,Subs,Jungle,Indonesia,,EVOS Legends,False
11,EVOS,Age,Staff,,Indonesia,Coach,EVOS Legends,False
11,EVOS,TaxStump,Staff,,Indonesia,Analyst,EVOS Legends,False
11,GEEK,Luke,Main,EXP,Indonesia,,Geek Slate,False
11,GEEK,Hadess,Main,Jungle,Philippines,,Geek Slate,False
11,GEEK,A_B_O_Y,Main,Mid,Indonesia,,Geek Slate,False
11,GEEK,Caderaa,Main,Gold,Indonesia,,Geek Slate,False
11,GEEK,Baloyskie,Main,Roam,Philippines,,Geek Slate,False
11,GEEK,Matt,Subs,EXP,Indonesia,,Geek Slate,False
11,GEEK,Renz,Staff,,Indonesia,Coach,Geek Slate,False
11,ONIC,Butss,Main,EXP,Indonesia,,ONIC,True
11,ONIC,Kairi,Main,Jungle,Philippines,,ONIC,True
11,ONIC,S_A_N_Z,Main,Mid,Indonesia,,ONIC,True
11,ONIC,CW,Main,Gold,Indonesia,,ONIC,True
11,ONIC,Kiboy,Main,Roam,Indonesia,,ONIC,True
11,ONIC,Drian,Subs,Mid,Indonesia,,ONIC,True
11,ONIC,SamoHt,Subs,Roam,Indonesia,DNP,ONIC,True
11,ONIC,Yeb,Staff,,Philippines,Head Coach,ONIC,False
11,ONIC,Adi,Staff,,Indonesia,Analyst,ONIC,False
